,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
78,RF,0.25,0.7100000000000001,1.0,0.2005824851110718,,True,,,,5,35,7,
93,RF,0.25,0.665,1.0,0.18670386534116892,,True,,,,3,25,7,
81,RF,0.25,0.6516666666666667,1.0,0.2346924701722566,,True,,,,5,40,3,
67,RF,0.5,0.7150000000000001,1.0,0.12592987466575728,,True,,,,5,25,5,
82,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,True,,,,5,40,5,
89,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,3,20,10,
83,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,5,40,7,
88,RF,0.25,0.6766666666666666,1.0,0.23048258550750036,,True,,,,3,20,7,
84,RF,0.25,0.7300000000000001,1.0,0.19857828011475306,,True,,,,5,40,10,
87,RF,0.25,0.7100000000000001,1.0,0.2005824851110718,,True,,,,3,20,5,
99,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,3,30,10,
75,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,5,35,2,
100,RF,0.25,0.6900000000000001,1.0,0.17953644012660308,,True,,,,3,35,2,
74,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,5,30,10,
101,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,True,,,,3,35,3,
73,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,True,,,,5,30,7,
102,RF,0.25,0.6766666666666666,1.0,0.23048258550750036,,True,,,,3,35,5,
187,RF,0.25,0.6766666666666667,1.0,0.23048258550750036,,False,,,,5,20,5,
72,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,5,30,5,
71,RF,0.25,0.6316666666666666,1.0,0.21153539236312732,,True,,,,5,30,3,
104,RF,0.25,0.7233333333333334,1.0,0.20168732676541126,,True,,,,3,35,10,
105,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,3,40,2,
106,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,3,40,3,
107,RF,0.25,0.6766666666666667,1.0,0.23048258550750036,,True,,,,3,40,5,
70,RF,0.25,0.6516666666666666,1.0,0.2346924701722566,,True,,,,5,30,2,
69,RF,0.3333333333333333,0.6233333333333333,1.0,0.20154955277107967,,True,,,,5,25,10,
109,RF,0.25,0.6316666666666666,1.0,0.21153539236312732,,True,,,,3,40,10,
37,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,True,,,,9,20,5,
38,RF,0.25,0.7233333333333334,1.0,0.20168732676541126,,True,,,,9,20,7,
32,AB,0.0,0.5816666666666668,1.0,0.29725129660496574,,,,,4.0,,,,200
163,RF,0.25,0.6900000000000001,1.0,0.17953644012660308,,False,,,,9,20,7,
169,RF,0.25,0.5783333333333334,1.0,0.21896854162692464,,False,,,,9,25,10,
168,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,False,,,,9,25,7,
167,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,False,,,,9,25,5,
6,AB,0.25,0.6216666666666667,1.0,0.2173131381210073,,,,,1.5,,,,150
