,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
260,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,,20,2,
259,RF,0.25,0.6383333333333333,1.0,0.2353543427826788,,False,,,,2,40,10,
258,RF,0.25,0.5599999999999999,1.0,0.23442601296689655,,False,,,,2,40,7,
257,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,2,40,5,
256,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,2,40,3,
255,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,2,40,2,
269,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,,25,10,
271,RF,0.25,0.5599999999999999,1.0,0.20604745947367456,,False,,,,,30,3,
253,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,2,35,7,
280,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,,40,2,
354,SVM,0.0,0.55,1.0,0.2766867462592951,5,,0.0005,rbf,,,,,
390,SVM,0.25,0.67,1.0,0.21367160680716463,50,,0.0005,rbf,,,,,
312,SVM,0.0,0.55,1.0,0.2907843798341918,0.5,,0.01,rbf,,,,,
283,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,,40,7,
282,RF,0.25,0.5933333333333334,1.0,0.2684523545560118,,False,,,,,40,5,
281,RF,0.25,0.5599999999999999,1.0,0.23442601296689655,,False,,,,,40,3,
279,RF,0.25,0.6183333333333334,1.0,0.24601829200285086,,False,,,,,35,10,
272,RF,0.25,0.5683333333333334,1.0,0.2643072706781509,,False,,,,,30,5,
278,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,,35,7,
277,RF,0.25,0.5599999999999999,1.0,0.20604745947367456,,False,,,,,35,5,
276,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,,35,3,
275,RF,0.25,0.605,1.0,0.2574501030404835,,False,,,,,35,2,
274,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,,30,10,
273,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,,30,7,
254,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,2,35,10,
252,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,35,5,
217,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,3,25,5,
226,RF,0.25,0.5850000000000001,1.0,0.21232182072400274,,False,,,,3,35,3,
232,RF,0.25,0.5516666666666667,1.0,0.22894079778162932,,False,,,,3,40,5,
231,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,3,40,3,
230,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,3,40,2,
229,RF,0.25,0.5850000000000001,1.0,0.2399594873214134,,False,,,,3,35,10,
228,RF,0.25,0.5599999999999999,1.0,0.23442601296689655,,False,,,,3,35,7,
227,RF,0.25,0.6183333333333334,1.0,0.27023138233743316,,False,,,,3,35,5,
225,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,3,35,2,
234,RF,0.25,0.6433333333333333,1.0,0.224746771080501,,False,,,,3,40,10,
