,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,criterion,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
2235,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,90,7,
2236,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,90,10,
2261,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,13,20,25,
2296,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,35,35,
2295,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,35,30,
2293,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,13,35,20,
3404,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,50,20,
2284,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,30,30,
2283,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,13,30,25,
3405,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,50,25,
2274,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,25,35,
3406,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,50,30,
3407,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,50,35,
2237,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,90,15,
2252,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,100,35,
2251,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,100,30,
2250,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,100,25,
2247,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,100,10,
2245,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,100,5,
2243,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,15,100,2,
2241,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,90,35,
2240,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,90,30,
2238,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,15,90,20,
2197,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,50,35,
2196,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,50,30,
2195,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,50,25,
3448,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,90,20,
3436,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,80,15,
3437,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,80,20,
3438,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,80,25,
3439,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,80,30,
3440,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,80,35,
2052,RF,0.25,0.48166666666666663,1.0,0.1986691834292486,,True,entropy,,,,,35,25,
3445,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,entropy,,,,11,90,7,
3447,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,90,15,
2041,RF,0.0,0.5516666666666666,1.0,0.2680640470733316,,True,entropy,,,,,30,25,
3449,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,90,25,
3434,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,80,7,
3450,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,90,30,
3451,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,entropy,,,,11,90,35,
3456,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,100,7,
3457,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,100,10,
3458,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,100,15,
3459,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,100,20,
